campaign_id,date,channel,campaign_name,country,segment,impressions,clicks,conversions,spend,revenue,ctr,cac,roas,cvr,year,month,week,day_of_week
CAMP-04711,2025-12-26,display,Automated impactful support Display FR,France,returning,45919,83,3,876.64,351.56,0.0018075306517999084,292.2133333333333,0.40103121007483117,0.03614457831325301,2025,12,52,Friday
CAMP-00692,2025-05-08,search,Reduced bottom-line matrix Search GE,Germany,returning,175727,13976,302,573.85,37132.31,0.07953245659460413,1.9001655629139074,64.70734512503267,0.02160847166571265,2025,5,19,Thursday
CAMP-00066,2024-07-31,email,Cloned contextually-based moderator Email NE,Netherlands,vip,10041,1949,58,1917.08,7995.42,0.1941041728911463,33.05310344827586,4.170624074112713,0.029758850692662903,2024,7,31,Wednesday
CAMP-03427,2025-06-15,display,Multi-channeled heuristic monitoring Display GE,Germany,new,151404,339,12,2205.45,1324.24,0.002239042561623207,183.7875,0.6004398195379629,0.035398230088495575,2025,6,24,Sunday
CAMP-04821,2025-04-10,social,Proactive empowering help-desk Social GE,Germany,returning,8577,440,19,1073.82,2178.28,0.05129998834091174,56.51684210526315,2.0285336462349375,0.04318181818181818,2025,4,15,Thursday
CAMP-00394,2025-02-17,social,Seamless upward-trending infrastructure Social IT,Italy,vip,50210,1729,51,551.15,4178.31,0.0344353714399522,10.806862745098039,7.581075932141887,0.029496818970503182,2025,2,8,Monday
CAMP-01425,2025-03-12,search,Sharable didactic artificial intelligence Search FR,France,new,49452,2559,100,379.07,10209.58,0.051747148750303326,3.7906999999999997,26.933231329305933,0.039077764751856196,2025,3,11,Wednesday
CAMP-00643,2026-02-18,search,Grass-roots composite success Search FR,France,returning,7624,636,7,1729.91,579.24,0.08342077649527807,247.13000000000002,0.3348382285783653,0.0110062893081761,2026,2,8,Wednesday
CAMP-02836,2025-12-04,email,Object-based zero-defect model Email NE,Netherlands,returning,8808,1927,60,1991.72,7358.53,0.21877838328792007,33.19533333333333,3.6945604803888097,0.031136481577581733,2025,12,49,Thursday
CAMP-01739,2025-11-21,search,Multi-lateral systematic focus group Search SP,Spain,returning,26872,2353,84,2369.57,9125.77,0.0875632628758559,28.20916666666667,3.8512346121870213,0.035699107522311944,2025,11,47,Friday
CAMP-02946,2026-01-21,social,Total methodical installation Social GE,Germany,new,3919,241,9,680.58,1054.82,0.06149527940801225,75.62,1.5498839225366596,0.03734439834024896,2026,1,4,Wednesday
CAMP-02068,2025-07-30,email,Cross-platform contextually-based groupware Email GE,Germany,new,2780,625,19,1285.87,2613.82,0.22482014388489208,67.67736842105262,2.0327249255367965,0.0304,2025,7,31,Wednesday
CAMP-03348,2025-08-24,email,Ergonomic fresh-thinking function Email NE,Netherlands,returning,43887,9390,148,849.02,19336.07,0.21395857543236038,5.736621621621621,22.774575392805822,0.015761448349307774,2025,8,34,Sunday
CAMP-00531,2025-01-16,email,Cross-platform national moderator Email SP,Spain,new,16805,3863,76,1098.79,9301.99,0.22987206188634335,14.457763157894737,8.465666778911348,0.01967382863059798,2025,1,3,Thursday
CAMP-04302,2024-09-14,email,Managed secondary open system Email GE,Germany,new,10192,2197,60,865.26,5236.84,0.21556122448979592,14.421,6.052331091232693,0.027309968138370506,2024,9,37,Saturday
CAMP-00829,2025-10-22,social,Total 3rdgeneration migration Social GE,Germany,vip,17136,724,25,2613.34,2336.04,0.04225023342670402,104.5336,0.8938905768097529,0.034530386740331494,2025,10,43,Wednesday
CAMP-01205,2024-11-25,search,Focused mobile paradigm Search NE,Netherlands,returning,32517,3062,88,3516.94,10197.47,0.09416612848663776,39.965227272727276,2.8995291361240167,0.028739386022207707,2024,11,48,Monday
CAMP-00180,2025-05-31,social,User-friendly stable emulation Social IT,Italy,returning,3928,97,3,619.92,344.13,0.02469450101832994,206.64,0.5551200154858692,0.030927835051546393,2025,5,22,Saturday
CAMP-02766,2024-07-26,email,Cross-group radical groupware Email FR,France,returning,27113,8297,283,1055.27,33737.41,0.30601556448935935,3.72886925795053,31.970405678167676,0.03410871399300952,2024,7,30,Friday
CAMP-01778,2025-03-31,social,Vision-oriented transitional product Social IT,Italy,returning,19216,962,37,1226.57,4773.79,0.050062447960033306,33.15054054054054,3.8919833356432982,0.038461538461538464,2025,3,14,Monday
CAMP-04928,2024-11-04,email,Monitored attitude-oriented Graphical User Interface Email NE,Netherlands,returning,5651,922,16,703.86,1536.16,0.16315696336931518,43.99125,2.182479470349217,0.01735357917570499,2024,11,45,Monday
CAMP-00492,2024-12-19,social,Cloned eco-centric matrix Social SP,Spain,returning,32043,699,29,651.28,3141.19,0.021814436850482163,22.45793103448276,4.823102198747083,0.04148783977110158,2024,12,51,Thursday
CAMP-04654,2024-08-08,social,Pre-emptive context-sensitive interface Social SP,Spain,new,8669,222,4,1085.26,588.13,0.025608490021917178,271.315,0.5419254372224167,0.018018018018018018,2024,8,32,Thursday
CAMP-00034,2025-06-23,display,Reactive local open architecture Display GE,Germany,returning,65355,93,2,556.54,264.51,0.00142299747532706,278.27,0.47527581126244295,0.021505376344086023,2025,6,26,Monday
CAMP-03023,2025-11-15,email,Compatible human-resource parallelism Email GE,Germany,vip,9363,1007,13,1098.79,1381.2,0.10755099861155612,84.52230769230769,1.2570190846294562,0.012909632571996028,2025,11,46,Saturday
CAMP-03621,2024-06-23,email,Ameliorated full-range contingency Email GE,Germany,vip,21114,2260,87,1025.66,9954.08,0.10703798427583594,11.789195402298851,9.705048456603553,0.03849557522123894,2024,6,25,Sunday
CAMP-00486,2024-10-28,email,Vision-oriented 24/7 migration Email GE,Germany,returning,12807,2619,98,601.33,13445.5,0.2044975404075896,6.136020408163266,22.35960288028204,0.037418862161130204,2024,10,44,Monday
CAMP-00080,2024-06-27,social,Right-sized background strategy Social GE,Germany,new,11963,283,11,1098.79,939.86,0.023656273509989133,99.89,0.8553590768026648,0.038869257950530034,2024,6,26,Thursday
CAMP-01345,2024-09-17,email,Front-line neutral parallelism Email IT,Italy,vip,19369,2792,84,907.95,8951.23,0.14414786514533534,10.808928571428572,9.858725700754446,0.03008595988538682,2024,9,38,Tuesday
CAMP-00578,2026-01-01,search,Optimized client-driven strategy Search GE,Germany,new,22244,2341,46,694.57,4097.57,0.1052418629742852,15.099347826086957,5.8994341822998395,0.019649722340879965,2026,1,1,Thursday
CAMP-01176,2024-08-22,email,Visionary mission-critical moderator Email FR,France,new,46204,5268,214,2012.91,17898.45,0.11401610250194788,9.406121495327103,8.891828248654932,0.04062262718299165,2024,8,34,Thursday
CAMP-01488,2025-10-11,search,Distributed 3rdgeneration matrix Search IT,Italy,new,64817,2426,55,723.06,5174.52,0.037428452412175815,13.146545454545453,7.156418554476808,0.02267106347897774,2025,10,41,Saturday
