campaign_id,date,channel,campaign_name,country,segment,impressions,clicks,conversions,spend,revenue
CAMP-04711,2025-12-26,display,Automated impactful support Display FR,France,returning,45919,83,3,876.64,351.56
CAMP-00692,2025-05-08,search,Reduced bottom-line matrix Search GE,Germany,returning,175727,13976,302,573.85,37132.31
CAMP-00066,2024-07-31,email,Cloned contextually-based moderator Email NE,Netherlands,vip,10041,1949,58,1917.08,7995.42
CAMP-03427,2025-06-15,display,Multi-channeled heuristic monitoring Display GE,Germany,new,151404,339,12,2205.45,1324.24
CAMP-04821,2025-04-10,social,Proactive empowering help-desk Social GE,Germany,returning,8577,440,19,1073.82,2178.28
CAMP-00394,2025-02-17,social,Seamless upward-trending infrastructure Social IT,Italy,vip,50210,1729,51,551.15,4178.31
CAMP-01425,2025-03-12,search,Sharable didactic artificial intelligence Search FR,France,new,49452,2559,100,379.07,10209.58
CAMP-00643,2026-02-18,search,Grass-roots composite success Search FR,France,returning,7624,636,7,1729.91,579.24
CAMP-02836,2025-12-04,email,Object-based zero-defect model Email NE,Netherlands,returning,8808,1927,60,1991.72,7358.53
CAMP-01739,2025-11-21,search,Multi-lateral systematic focus group Search SP,Spain,returning,26872,2353,84,2369.57,9125.77
CAMP-02946,2026-01-21,social,Total methodical installation Social GE,Germany,new,3919,241,9,680.58,1054.82
CAMP-02068,2025-07-30,email,Cross-platform contextually-based groupware Email GE,Germany,new,2780,625,19,1285.87,2613.82
CAMP-03348,2025-08-24,email,Ergonomic fresh-thinking function Email NE,Netherlands,returning,43887,9390,148,849.02,19336.07
CAMP-00531,2025-01-16,email,Cross-platform national moderator Email SP,Spain,new,16805,3863,76,,9301.99
CAMP-04302,2024-09-14,email,Managed secondary open system Email GE,Germany,new,10192,2197,60,865.26,5236.84
CAMP-00829,2025-10-22,social,Total 3rdgeneration migration Social GE,Germany,vip,17136,724,25,2613.34,2336.04
CAMP-01205,2024-11-25,search,Focused mobile paradigm Search NE,Netherlands,returning,32517,3062,88,3516.94,10197.47
CAMP-00180,2025-05-31,social,User-friendly stable emulation Social IT,Italy,returning,3928,97,3,619.92,344.13
CAMP-02766,2024-07-26,email,Cross-group radical groupware Email FR,France,returning,27113,8297,283,1055.27,33737.41
CAMP-01778,2025-03-31,social,Vision-oriented transitional product Social IT,Italy,returning,19216,962,37,1226.57,4773.79
CAMP-04928,2024-11-04,email,Monitored attitude-oriented Graphical User Interface Email NE,Netherlands,returning,5651,922,16,703.86,1536.16
CAMP-00492,2024-12-19,social,Cloned eco-centric matrix Social SP,Spain,returning,32043,699,29,651.28,3141.19
CAMP-04654,2024-08-08,social,Pre-emptive context-sensitive interface Social SP,Spain,new,8669,222,4,1085.26,588.13
CAMP-00034,2025-06-23,display,Reactive local open architecture Display GE,Germany,returning,65355,93,2,556.54,264.51
CAMP-03023,2025-11-15,email,Compatible human-resource parallelism Email GE,Germany,vip,9363,1007,13,,1381.2
CAMP-03621,2024-06-23,email,Ameliorated full-range contingency Email GE,Germany,vip,21114,2260,87,1025.66,9954.08
CAMP-00486,2024-10-28,email,Vision-oriented 24/7 migration Email GE,Germany,returning,12807,2619,98,601.33,13445.5
CAMP-00080,2024-06-27,social,Right-sized background strategy Social GE,Germany,new,11963,283,11,,939.86
CAMP-01345,2024-09-17,email,Front-line neutral parallelism Email IT,Italy,vip,19369,2792,84,907.95,8951.23
CAMP-00578,2026-01-01,search,Optimized client-driven strategy Search GE,Germany,new,22244,2341,46,694.57,4097.57
CAMP-01176,2024-08-22,email,Visionary mission-critical moderator Email FR,France,new,46204,5268,214,2012.91,17898.45
CAMP-01488,2025-10-11,search,Distributed 3rdgeneration matrix Search IT,Italy,new,64817,2426,55,723.06,5174.52
CAMP-00498,2025-10-17,display,Enhanced next generation productivity Display NE,Netherlands,vip,14963,15,0,,0.0
CAMP-04103,2025-03-26,email,Organized eco-centric benchmark Email SP,Spain,vip,26853,4660,213,608.71,20441.77
CAMP-01145,2025-03-23,search,Inverse cohesive monitoring Search FR,France,new,32766,2108,16,2863.16,2118.51
CAMP-03735,2024-09-09,display,Versatile 24/7 core Display GE,Germany,vip,30178,59,1,1895.46,80.69
CAMP-04238,2025-06-28,display,Cross-group real-time adapter Display NE,Netherlands,returning,31353,67,2,1321.59,164.89
CAMP-03244,2025-02-07,email,Pre-emptive 5thgeneration algorithm Email FR,France,new,7785,1499,23,1749.34,1868.39
CAMP-01236,2024-11-09,email,Re-engineered uniform capability Email GE,Germany,vip,57618,12573,333,971.1,29420.22
CAMP-04569,2026-04-02,social,Centralized zero administration productivity Social GE,Germany,returning,7364,308,6,3372.7,820.78
CAMP-04268,2025-11-03,search,Expanded directional info-mediaries Search FR,France,new,46999,3711,128,1659.52,18203.44
CAMP-00625,2026-03-25,search,Proactive intangible projection Search SP,Spain,new,26084,3268,116,492.11,11333.21
CAMP-01630,2024-10-11,social,User-centric directional project Social SP,Spain,new,16401,550,21,1487.7,1741.15
CAMP-00200,2026-01-04,email,Re-engineered responsive groupware Email IT,Italy,vip,6493,1151,38,696.15,4184.61
CAMP-03614,2024-05-22,search,Sharable executive access Search IT,Italy,returning,135236,9158,257,973.11,23489.35
CAMP-01989,2026-02-06,social,Vision-oriented content-based moratorium Social FR,France,vip,35811,1378,50,1715.77,5221.48
CAMP-02345,2024-11-18,email,Visionary multi-tasking solution Email FR,France,new,10767,1736,40,707.92,3834.35
CAMP-03264,2024-07-17,display,Innovative encompassing analyzer Display SP,Spain,vip,64054,143,4,2671.99,348.68
CAMP-01906,2025-06-13,display,Managed client-server migration Display GE,Germany,returning,17315,52,1,3628.62,142.98
CAMP-00766,2026-03-15,display,Enterprise-wide optimizing pricing structure Display NE,Netherlands,vip,49170,109,2,1324.54,277.44
CAMP-00804,2024-10-08,email,Integrated value-added Graphic Interface Email GE,Germany,vip,9179,1521,29,1067.12,2944.59
CAMP-01502,2024-12-09,search,Synergized multimedia Graphic Interface Search FR,France,new,40669,4886,189,706.18,22425.9
CAMP-01771,2025-11-07,display,Synchronized bandwidth-monitored collaboration Display FR,France,vip,269509,465,22,936.46,2427.89
CAMP-00107,2025-01-24,social,Multi-lateral system-worthy benchmark Social NE,Netherlands,returning,8472,289,6,653.02,552.82
CAMP-02965,2026-03-11,email,Advanced actuating help-desk Email IT,Italy,returning,5074,339,15,1490.47,1412.81
